,Type,Duration(us),Name
841,Conv2DBackpropInput,463.709,Conv2DBackpropInput
842,Conv2DBackpropFilter,144.743,Conv2DBackpropFilter
843,ReluGrad,8.48,
844,BNTrainingGrad,204.064,BNTrainingGrad
845,Conv2DBackpropInput,308.146,Conv2DBackpropInput
846,Conv2DBackpropFilter,99.36200000000001,Conv2DBackpropFilter
847,Add,9.6,
848,ReluGrad,14.3,
849,BNTrainingGrad,696.7339999999999,BNTrainingGrad
850,Conv2DBackpropInput,287.38500000000005,Conv2DBackpropInput
851,Conv2DBackpropFilter,123.922,Conv2DBackpropFilter
852,ReluGrad,8.62,
853,BNTrainingGrad,203.88400000000001,BNTrainingGrad
854,Conv2DBackpropInput,465.449,Conv2DBackpropInput
855,Conv2DBackpropFilter,142.78300000000002,Conv2DBackpropFilter
856,ReluGrad,8.48,
857,BNTrainingGrad,204.92399999999998,BNTrainingGrad
858,Conv2DBackpropInput,304.987,Conv2DBackpropInput
859,Conv2DBackpropFilter,97.14099999999999,Conv2DBackpropFilter
860,Add,9.5,
861,ReluGrad,13.78,
862,BNTrainingGrad,695.4739999999999,BNTrainingGrad
863,Conv2DBackpropInput,284.76599999999996,Conv2DBackpropInput
864,Conv2DBackpropFilter,125.702,Conv2DBackpropFilter
865,ReluGrad,8.64,
866,BNTrainingGrad,204.64499999999998,BNTrainingGrad
867,Conv2DBackpropInput,461.811,Conv2DBackpropInput
868,Conv2DBackpropFilter,142.942,Conv2DBackpropFilter
869,ReluGrad,8.46,
870,BNTrainingGrad,207.983,BNTrainingGrad
871,Conv2DBackpropInput,306.626,Conv2DBackpropInput
872,Conv2DBackpropFilter,96.422,Conv2DBackpropFilter
873,Add,9.52,
874,ReluGrad,14.1,
875,BNTrainingGrad,701.095,BNTrainingGrad
876,Conv2DBackpropInput,288.406,Conv2DBackpropInput
877,Conv2DBackpropFilter,125.702,Conv2DBackpropFilter
878,ReluGrad,8.64,
879,BNTrainingGrad,204.445,BNTrainingGrad
880,Conv2DBackpropInput,464.12899999999996,Conv2DBackpropInput
