ID,Type,Duration(ms)
650,Conv2DBackpropFilter,0.099181
651,Add,0.00956
652,ReluGrad,0.01316
653,A_BNTrainingUpdateGrad,0.255465
654,A_BNTrainingReduceGrad,0.440149
655,Conv2DBackpropInput,0.285486
656,Conv2DBackpropFilter,0.124382
658,A_BNTrainingUpdateGrad,0.121542
659,A_BNTrainingReduceGrad,0.082642
660,Conv2DBackpropInput,0.463528
661,Conv2DBackpropFilter,0.143842
663,A_BNTrainingUpdateGrad,0.12156200000000002
664,A_BNTrainingReduceGrad,0.08272199999999999
665,Conv2DBackpropInput,0.305966
666,Conv2DBackpropFilter,0.098061
667,Add,0.01242
668,ReluGrad,0.014060000000000001
669,A_BNTrainingUpdateGrad,0.255145
670,A_BNTrainingReduceGrad,0.440109
671,Conv2DBackpropInput,0.28650699999999996
672,Conv2DBackpropFilter,0.122922
674,A_BNTrainingUpdateGrad,0.12150200000000001
675,A_BNTrainingReduceGrad,0.082281
676,Conv2DBackpropInput,0.46208899999999997
677,Conv2DBackpropFilter,0.14398199999999997
679,A_BNTrainingUpdateGrad,0.121782
680,A_BNTrainingReduceGrad,0.083182
681,Conv2DBackpropInput,0.30896500000000005
682,Conv2DBackpropFilter,0.10448099999999999
683,Add,0.009460000000000001
684,ReluGrad,0.01384
685,A_BNTrainingUpdateGrad,0.254725
686,A_BNTrainingReduceGrad,0.43994900000000003
687,Conv2DBackpropInput,0.28892700000000004
688,Conv2DBackpropFilter,0.125742
690,A_BNTrainingUpdateGrad,0.12174199999999999
691,A_BNTrainingReduceGrad,0.082782
692,Conv2DBackpropInput,0.462911
693,Conv2DBackpropFilter,0.14288199999999998
695,A_BNTrainingUpdateGrad,0.122202
696,A_BNTrainingReduceGrad,0.08278100000000001
697,Conv2DBackpropInput,0.30696500000000004
698,Conv2DBackpropFilter,0.097021
699,Add,0.00956
700,ReluGrad,0.013699999999999999
701,A_BNTrainingUpdateGrad,0.254965
702,A_BNTrainingReduceGrad,0.44004899999999997
703,Conv2DBackpropInput,0.286385
704,Conv2DBackpropFilter,0.125802
706,A_BNTrainingUpdateGrad,0.122002
707,A_BNTrainingReduceGrad,0.08260200000000001
708,Conv2DBackpropInput,0.46324800000000005
709,Conv2DBackpropFilter,0.141843
711,A_BNTrainingUpdateGrad,0.121862
712,A_BNTrainingReduceGrad,0.08274200000000001
713,Conv2DBackpropInput,0.305406
714,Conv2DBackpropFilter,0.09914099999999999
715,Add,0.00948
716,ReluGrad,0.01396
717,A_BNTrainingUpdateGrad,0.255485
718,A_BNTrainingReduceGrad,0.43992899999999996
719,Conv2DBackpropInput,0.28800600000000004
720,Conv2DBackpropFilter,0.124822
722,A_BNTrainingUpdateGrad,0.12122200000000001
723,A_BNTrainingReduceGrad,0.08288200000000001
724,Conv2DBackpropInput,0.463729
725,Conv2DBackpropFilter,0.14186199999999996
727,A_BNTrainingUpdateGrad,0.121082
728,A_BNTrainingReduceGrad,0.083302
729,Conv2DBackpropInput,0.306147
730,Conv2DBackpropFilter,0.096281
731,Add,0.009519999999999999
732,ReluGrad,0.014
733,A_BNTrainingUpdateGrad,0.255165
734,A_BNTrainingReduceGrad,0.441109
735,Conv2DBackpropInput,0.2849250000000001
736,Conv2DBackpropFilter,0.12338199999999999
738,A_BNTrainingUpdateGrad,0.121722
739,A_BNTrainingReduceGrad,0.082422
740,Conv2DBackpropInput,0.46235000000000004
741,Conv2DBackpropFilter,0.142483
743,A_BNTrainingUpdateGrad,0.121322
744,A_BNTrainingReduceGrad,0.08268099999999999
745,Conv2DBackpropInput,0.31222700000000003
746,Conv2DBackpropFilter,0.097281
747,Add,0.00962
748,ReluGrad,0.01384
749,A_BNTrainingUpdateGrad,0.255245
750,A_BNTrainingReduceGrad,0.440409
751,Conv2DBackpropInput,0.289166
752,Conv2DBackpropFilter,0.12448200000000001
754,A_BNTrainingUpdateGrad,0.12184199999999999
755,A_BNTrainingReduceGrad,0.08288200000000001
756,Conv2DBackpropInput,0.462729
757,Conv2DBackpropFilter,0.142662
759,A_BNTrainingUpdateGrad,0.12144200000000001
760,A_BNTrainingReduceGrad,0.082682
761,Conv2DBackpropInput,0.305547
762,Conv2DBackpropFilter,0.098441
763,Add,0.00954
764,ReluGrad,0.01416
765,A_BNTrainingUpdateGrad,0.255185
766,A_BNTrainingReduceGrad,0.43994900000000003
767,Conv2DBackpropInput,0.284426
768,Conv2DBackpropFilter,0.12414200000000002
